Year,State_Name,County_Name,Total,Pop,Coke,Soda,Pop,Coke,Soda,pop coke or soda,,
2003,NC,Nash,15,0,6,3,0,0.4,0.2,4.4,,
2003,NC,New Hanover,43,1,11,25,0.023255814,0.255813953,0.581395349,6.581395349,,
2003,NC,Northampton,0,0,0,0,0,0,0,0,,
2003,NC,Onslow,18,1,7,9,0.055555556,0.388888889,0.5,6.5,,
2003,NC,Orange,41,1,21,14,0.024390244,0.512195122,0.341463415,4.512195122,,
2003,NC,Pamlico,0,0,0,0,0,0,0,0,,
2003,NC,Pasquotank,5,0,2,2,0,0.4,0.4,0,,
2003,NC,Pender,2,0,1,0,0,0.5,0,4.5,,
2003,NC,Perquimans,1,0,0,0,0,0,0,0,,
2003,NC,Person,8,0,5,1,0,0.625,0.125,4.625,,
2003,NC,Pitt,31,1,7,15,0.032258065,0.225806452,0.483870968,6.483870968,,
2003,NC,Polk,2,0,1,0,0,0.5,0,4.5,,
2003,NC,Randolph,23,0,7,10,0,0.304347826,0.434782609,6.434782609,,
2003,NC,Richmond,11,1,4,3,0.090909091,0.363636364,0.272727273,4.363636364,,
2003,NC,Robeson,9,0,2,1,0,0.222222222,0.111111111,4.222222222,,
2003,NC,Rockingham,13,2,4,3,0.153846154,0.307692308,0.230769231,4.307692308,,
2003,NC,Rowan,24,3,6,7,0.125,0.25,0.291666667,6.291666667,,
2003,NC,Rutherford,18,0,12,3,0,0.666666667,0.166666667,4.666666667,,
2003,NC,Sampson,10,0,4,2,0,0.4,0.2,4.4,,
2003,NC,Scotland,7,0,2,1,0,0.285714286,0.142857143,4.285714286,,
2003,NC,Stanly,14,0,3,6,0,0.214285714,0.428571429,6.428571429,,
2003,NC,Stokes,3,1,0,2,0.333333333,0,0.666666667,6.666666667,,
2003,NC,Surry,17,11,3,2,0.647058824,0.176470588,0.117647059,2.647058824,,
2003,NC,Swain,3,0,0,0,0,0,0,0,,
2003,NC,Transylvania,9,0,9,0,0,1,0,5,,
2003,NC,Tyrrell,3,0,1,2,0,0.333333333,0.666666667,6.666666667,,
2003,NC,Union,35,5,17,9,0.142857143,0.485714286,0.257142857,4.485714286,,
2003,NC,Vance,1,0,0,1,0,0,1,7,,
2003,NC,Wake,256,6,112,100,0.0234375,0.4375,0.390625,4.4375,,
2003,NC,Warren,2,0,0,2,0,0,1,7,,
2003,NC,Washington,4,0,2,1,0,0.5,0.25,4.5,,
2003,NC,Watauga,11,0,4,7,0,0.363636364,0.636363636,6.636363636,,
2003,NC,Wayne,19,1,3,8,0.052631579,0.157894737,0.421052632,6.421052632,,
2003,NC,Wilkes,12,0,5,5,0,0.416666667,0.416666667,0,,
2003,NC,Wilson,18,0,6,8,0,0.333333333,0.444444444,6.444444444,,
2003,NC,Yadkin,6,1,1,1,0.166666667,0.166666667,0.166666667,0,,
2003,NC,Yancey,3,0,2,0,0,0.666666667,0,4.666666667,,
2003,ND,Adams,0,0,0,0,0,0,0,0,,
2003,ND,Barnes,13,12,0,1,0.923076923,0,0.076923077,2.923076923,,
2003,ND,Benson,0,0,0,0,0,0,0,0,,
2003,ND,Billings,1,1,0,0,1,0,0,3,,
2003,ND,Bottineau,3,3,0,0,1,0,0,3,,
2003,ND,Bowman,3,3,0,0,1,0,0,3,,
2003,ND,Burke,5,4,0,1,0.8,0,0.2,2.8,,
2003,ND,Burleigh,55,43,1,10,0.781818182,0.018181818,0.181818182,2.781818182,,
2003,ND,Cass,93,77,0,16,0.827956989,0,0.172043011,2.827956989,,
2003,ND,Cavalier,4,4,0,0,1,0,0,3,,
2003,ND,Dickey,4,4,0,0,1,0,0,3,,
2003,ND,Divide,1,1,0,0,1,0,0,3,,
2003,ND,Dunn,2,2,0,0,1,0,0,3,,
2003,ND,Eddy,3,3,0,0,1,0,0,3,,
2003,ND,Emmons,1,1,0,0,1,0,0,3,,
2003,ND,Foster,1,1,0,0,1,0,0,3,,
2003,ND,Golden Valley,0,0,0,0,0,0,0,0,,
2003,ND,Grand Forks,34,23,1,10,0.676470588,0.029411765,0.294117647,2.676470588,,
2003,ND,Grant,2,1,0,1,0.5,0,0.5,0,,
2003,ND,Griggs,5,5,0,0,1,0,0,3,,
2003,ND,Hettinger,1,1,0,0,1,0,0,3,,
2003,ND,Kidder,2,2,0,0,1,0,0,3,,
2003,ND,La Moure,2,0,0,2,0,0,1,7,,
2003,ND,Logan,0,0,0,0,0,0,0,0,,
2003,ND,McHenry,5,5,0,0,1,0,0,3,,
2003,ND,McIntosh,5,5,0,0,1,0,0,3,,
2003,ND,McKenzie,2,2,0,0,1,0,0,3,,
2003,ND,McLean,18,9,0,9,0.5,0,0.5,0,,
2003,ND,Mercer,9,8,0,0,0.888888889,0,0,2.888888889,,
2003,ND,Morton,16,13,0,3,0.8125,0,0.1875,2.8125,,
2003,ND,Mountrial,2,1,0,1,0.5,0,0.5,0,,
2003,ND,Nelson,5,3,0,2,0.6,0,0.4,2.6,,
2003,ND,Oliver,1,1,0,0,1,0,0,3,,
2003,ND,Pembina,3,3,0,0,1,0,0,3,,
2003,ND,Pierce,0,0,0,0,0,0,0,0,,
2003,ND,Ramsey,6,5,0,1,0.833333333,0,0.166666667,2.833333333,,
2003,ND,Ransom,4,3,0,1,0.75,0,0.25,2.75,,
2003,ND,Renville,0,0,0,0,0,0,0,0,,
2003,ND,Richland,14,10,0,3,0.714285714,0,0.214285714,2.714285714,,
2003,ND,Rolette,3,2,0,1,0.666666667,0,0.333333333,2.666666667,,
2003,ND,Sargent,4,3,0,0,0.75,0,0,2.75,,
2003,ND,Sheridan,1,0,0,1,0,0,1,7,,
2003,ND,Sioux,0,0,0,0,0,0,0,0,,
2003,ND,Slope,0,0,0,0,0,0,0,0,,
2003,ND,Stark,18,14,0,3,0.777777778,0,0.166666667,2.777777778,,
2003,ND,Steele,1,1,0,0,1,0,0,3,,
2003,ND,Stutsman,17,14,0,3,0.823529412,0,0.176470588,2.823529412,,
2003,ND,Towner,0,0,0,0,0,0,0,0,,
2003,ND,Traill,2,2,0,0,1,0,0,3,,
2003,ND,Walsh,6,5,0,1,0.833333333,0,0.166666667,2.833333333,,
2003,ND,Ward,42,28,2,11,0.666666667,0.047619048,0.261904762,2.666666667,,
2003,ND,Wells,5,2,0,3,0.4,0,0.6,6.6,,
2003,ND,Williams,14,11,0,3,0.785714286,0,0.214285714,2.785714286,,
